province_id,province,skilled_birth
AF17,Badakhshan,10
AF31,Badghis,10
AF09,Baghlan,30
AF21,Balkh,60
AF10,Bamyan,60
AF24,Daykundi,30
AF33,Farah,30
AF29,Faryab,30
AF11,Ghazni,30
AF23,Ghor,10
AF30,Helmand,60
AF32,Herat,60
AF28,Jawzjan,60
AF01,Kabul,80
AF27,Kandahar,30
AF02,Kapisa,80
AF14,Khost,60
AF15,Kunarha,60
AF19,Kunduz,60
AF07,Laghman,60
AF05,Logar,60
AF06,Nangarhar,60
AF34,Nimroz,60
AF16,Nooristan,10
AF12,Paktika,30
AF13,Paktya,60
AF08,Panjsher,60
AF03,Parwan,60
AF20,Samangan,60
AF22,Sar-e-Pul,30
AF18,Takhar,30
AF25,Urozgan,60
AF04,Wardak,30
AF26,Zabul,30